Name,Quantity,Component
"U1",1," ATtiny"
"U2",1," 8-Bit Shift Register"
"Digit2",1,"Anode 7 Segment Display"
"S1",1," Pushbutton"
"R1",1,"10 kΩ Resistor"
"R2",1,"330 Ω Resistor"
"P1",1,"7 , 5  Power Supply"
